IP,GUID,Fairshots
85.23.247.207,e2c2a,"[(u'e2c2a', u'HsSturris', u'31.204.136.28:20100', u'1491380745', u'-%7CHsS%7C-+%01turris%01'), (u'e2c2a', u'HsSturris', u'128.199.50.188:20100', u'1486227543', u'-%7CHsS%7C-+%7Cturris%7C%60'), (u'e2c2a', u'sirRuT', u'51.254.35.64:20111', u'1485265503', u'sir_RuT'), (u'e2c2a', u'SpeceR', u'31.186.250.93:20160', u'1467801414', u'%01Spec%17eR%01'), (u'e2c2a', u'HsSturris', u'84.80.170.166:20101', u'1461264864', u'-%7CHsS%7C-+%01turris%01'), (u'e2c2a', u'HsSturris', u'213.163.68.175:20100', u'1443345154', u'-%7CHsS%7C-+%01turris%01')]"
156.204.154.147,,
41.69.112.21,,
31.168.84.237,c7e43,"[(u'c7e43', u'SOF2bars', u'213.163.68.175:20100', u'1435250499', u'%5BSOF2%5D+bars'), (u'c7e43', u'bars', u'213.163.68.175:20100', u'1430157316', u'bars'), (u'c7e43', u'bars', u'213.163.68.175:20100', u'1430156579', u'bars'), (u'c7e43', u'bars', u'213.163.68.175:20100', u'1429032820', u'bars'), (u'c7e43', u'SoAMakTa', u'84.44.138.37:20100', u'1428244057', u'%60SoA+Mak%21Ta'), (u'c7e43', u'bars', u'213.163.68.175:20100', u'1426259444', u'bars')]"
45.242.65.145,,
156.205.123.42,,
77.173.227.76,,
156.205.243.141,,
156.205.118.138,,
62.250.95.160,8048b,"[(u'8048b', u'peligroso', u'51.255.200.51:20104', u'1499815162', u'%5B%2B%5D+peligroso%2A'), (u'8048b', u'peligroso', u'188.226.137.15:20102', u'1493160768', u'%5B%2B%5D+peligroso%2A'), (u'8048b', u'peligroso', u'188.226.137.15:20102', u'1493160157', u'%5B%2B%5D+peligroso%2A'), (u'8048b', u'peligroso', u'51.254.35.64:20102', u'1488747584', u'%5B%2B%5D+peligroso%2A'), (u'8048b', u'peligroso', u'51.254.35.64:20102', u'1488579338', u'%5B%2B%5D+peligroso%2A'), (u'8048b', u'peligroso', u'51.254.35.64:20102', u'1487371650', u'%5B%2B%5D+peligroso%2A')]"
41.46.226.226,5240d,"[(u'5240d', u'mRsAbdoo', u'79.137.85.74:20105', u'1486572950', u'%60m%5BR%5Ds+%23Abdo%10o%02'), (u'5240d', u'mrsAbdoOo', u'52.56.120.240:20100', u'1486131084', u'%60m%5Br%5Ds+%23AbdoOo%02'), (u'5240d', u'mrsAbdoOo', u'52.56.120.240:20100', u'1486130100', u'%60m%5Br%5Ds+%23AbdoOo%02'), (u'5240d', u'mRsAbdoOo', u'37.59.160.132:20101', u'1486070087', u'%60m%5BR%5Ds+%23AbdoOo%02'), (u'5240d', u'mRsAbdoOo', u'37.59.160.132:20101', u'1486069880', u'%60m%5BR%5Ds+%23AbdoOo%02')]"
156.205.29.30,,
156.205.39.255,,
93.190.138.112,cef58,"[(u'cef58', u'AsskL', u'195.154.111.165:20101', u'1426728409', u'A%2As+skL'), (u'cef58', u'AsskL', u'195.154.111.165:20101', u'1426726141', u'A%2As+skL'), (u'cef58', u'AsskL', u'185.43.210.55:20100', u'1426723629', u'A%2As+skL'), (u'cef58', u'S4Abmb', u'195.154.111.165:20101', u'1426554766', u'%26gt%3B%07S4A%07%26lt%3B+b%02mb'), (u'cef58', u'S4Abmb', u'195.154.111.165:20101', u'1426554309', u'%26gt%3B%07S4A%07%26lt%3B+b%02mb'), (u'cef58', u'S4Abmb', u'195.154.111.165:20101', u'1426553571', u'%26gt%3B%07S4A%07%26lt%3B+b%02mb')]"
156.204.4.27,,
77.163.164.233,,
156.204.48.35,43b6e,"[(u'43b6e', u'ReMiXe', u'79.137.85.74:20100', u'1496788327', u'.ReMiXe+.%21%21'), (u'43b6e', u'ReMiXe', u'188.226.137.15:20103', u'1492764955', u'.ReMiXe+.%21%21')]"
82.154.67.165,,
62.163.203.151,,
70.124.51.60,,
87.213.22.9,833ea,"[(u'833ea', u'cLgcornaflex', u'51.255.200.51:20104', u'1499815130', u'cLg+%23+cornaflex.'), (u'833ea', u'WBGELCHAPO', u'185.61.138.136:20102', u'1499777333', u'-%7CWBG%7C-+EL%2ACHAPO'), (u'833ea', u'cLgcornatr0n', u'213.163.78.139:20100', u'1499691396', u'.cLg+%23+cornatr0n%60'), (u'833ea', u'cLgcornatr0n', u'213.163.78.139:20100', u'1499691191', u'.cLg+%23+cornatr0n%60'), (u'833ea', u'cLgcornatr0n', u'213.163.78.139:20100', u'1499690592', u'.cLg+%23+cornatr0n%60')]"
156.204.232.204,b0395,[]
156.204.205.184,,
170.82.211.121,f34b9,"[(u'f34b9', u'SCCraver', u'79.137.85.74:20105', u'1497048664', u'%5BSC%5DCraver'), (u'f34b9', u'SCCraver', u'79.137.85.74:20105', u'1495576876', u'%5BSC%5DCraver'), (u'f34b9', u'SCCraver', u'80.57.88.240:20100', u'1488582255', u'%5BSC%5DCraver%21')]"
90.190.82.177,3a5dc,"[(u'3a5dc', u'FisherQ', u'162.244.55.44:20210', u'1496959182', u'%26lt%3B%26gt%3B%26lt%3BFisher%3AQ%26gt%3B%26lt%3B%26gt%3B')]"
156.205.126.129,,
156.205.195.252,,
